id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
8651402910,2014-08-06T00:00:00Z,176000,2,1,770,5200,1,0,0,5,6,770,0,1969,0,98042,47.3627,-122.087,1150,5330
2493200235,2015-03-11T00:00:00Z,370000,2,1,850,6213,1,0,0,3,6,750,100,1916,0,98136,47.5282,-122.384,1880,5500
8691300260,2015-04-13T00:00:00Z,875909,4,2.5,3610,13292,2,0,0,3,10,3610,0,1996,0,98075,47.5868,-121.974,3000,10776
3751600030,2014-07-17T00:00:00Z,100000,2,1,770,17334,1,0,0,3,7,770,0,1978,0,98001,47.2997,-122.269,1480,17334
1994200012,2015-04-13T00:00:00Z,580000,3,1.75,1850,2797,1,0,0,3,8,1150,700,1977,0,98103,47.6871,-122.336,1450,4599
2768000390,2014-09-26T00:00:00Z,577000,5,2.75,1940,5000,2,0,0,5,7,1940,0,1951,0,98107,47.6704,-122.362,1940,4230
7135521680,2014-05-22T00:00:00Z,665000,4,2.5,2600,17388,2,0,0,3,9,2600,0,1996,0,98059,47.5283,-122.146,2950,11553
4019301386,2014-09-09T00:00:00Z,425000,3,1.5,1970,13709,1,0,0,4,7,1680,290,1955,0,98155,47.7562,-122.277,2200,16536
1446401550,2015-02-06T00:00:00Z,225000,3,1,660,6600,1,0,0,4,5,660,0,1940,0,98168,47.4842,-122.33,1320,6600
1868901295,2014-07-29T00:00:00Z,660000,5,2.25,2540,3750,1.5,0,0,4,7,1510,1030,1925,0,98115,47.6729,-122.299,1780,3750
7524200180,2014-10-23T00:00:00Z,207000,4,2,1690,7728,1.5,0,0,4,7,1690,0,1967,0,98198,47.3666,-122.318,1480,8009
3626039207,2014-10-17T00:00:00Z,522500,4,1.75,2100,6480,1,0,0,5,7,1300,800,1947,0,98177,47.7049,-122.359,1840,7500
0507100020,2015-03-09T00:00:00Z,270000,3,1,1480,7374,1,0,0,3,6,760,720,1954,0,98133,47.7775,-122.336,1480,8934
7436500360,2014-06-06T00:00:00Z,510000,3,1.75,1480,7040,1,0,0,3,7,1480,0,1974,0,98033,47.6723,-122.169,2040,7810
8078570460,2014-09-24T00:00:00Z,305500,4,2.5,1850,7199,2,0,0,4,7,1850,0,1989,0,98031,47.4031,-122.172,1940,7432
7686204675,2015-01-29T00:00:00Z,248000,4,1,1010,7515,1,0,0,4,6,1010,0,1955,0,98198,47.4174,-122.316,1330,7515
6821600265,2015-03-05T00:00:00Z,425000,2,1,1270,6000,1,0,0,3,7,1270,0,1939,0,98199,47.6482,-122.393,1770,6000
3333000775,2014-09-03T00:00:00Z,249900,3,1,1100,5000,1,0,0,3,7,1100,0,1960,0,98118,47.5433,-122.283,1020,5000
0809002390,2015-01-15T00:00:00Z,658000,3,1.5,1660,3190,1.5,0,0,3,7,1660,0,1919,0,98109,47.6368,-122.351,2200,3240
3903200050,2015-03-24T00:00:00Z,263950,3,1.75,1700,11613,1,0,0,5,7,1180,520,1977,0,98092,47.2874,-122.187,1500,12377
9828702518,2014-06-17T00:00:00Z,479000,2,2.25,1230,932,2,0,0,3,8,1020,210,2004,0,98112,47.6192,-122.301,1230,1064
4139900050,2014-05-19T00:00:00Z,1468000,4,3.25,5010,34460,2,0,0,3,12,5010,0,1988,0,98006,47.5469,-122.127,4760,34460
7871500685,2014-07-08T00:00:00Z,613000,2,2,1170,1890,1.5,0,1,4,8,1170,0,1927,0,98119,47.6402,-122.371,2160,4000
7802900500,2015-03-04T00:00:00Z,532500,3,3.25,3140,37120,1,0,0,3,9,1760,1380,1984,0,98065,47.5244,-121.842,2100,13500
7010700245,2014-12-31T00:00:00Z,565000,5,2.25,2130,4360,1,0,2,3,8,1240,890,1959,0,98199,47.6586,-122.395,1830,5000
6700400110,2014-07-02T00:00:00Z,223000,3,2,1110,7231,1,0,0,4,7,1110,0,1991,0,98031,47.4036,-122.191,1550,7245
0792000006,2014-07-09T00:00:00Z,187000,2,1,840,11600,1,0,0,3,6,840,0,1952,0,98168,47.492,-122.302,1610,9120
0984200690,2014-06-18T00:00:00Z,299000,5,2.5,2220,9360,1,0,0,4,7,1110,1110,1968,0,98058,47.4341,-122.169,1780,7704
2241700075,2014-10-22T00:00:00Z,310000,3,1,1180,8474,1.5,0,0,3,7,1180,0,1956,0,98155,47.7416,-122.327,1180,7200
7625703637,2014-08-28T00:00:00Z,286000,2,1,610,4000,1,0,0,4,6,610,0,1918,0,98136,47.5469,-122.391,870,5160
1623069046,2015-03-12T00:00:00Z,1700000,4,3.5,4070,336283,2,0,0,3,11,4070,0,2006,0,98027,47.478,-122.038,3020,44613
3880900236,2014-08-22T00:00:00Z,455000,2,1.5,910,966,2,0,0,3,8,820,90,2006,0,98119,47.627,-122.361,2740,6400
0993000873,2015-03-18T00:00:00Z,380500,3,2,1270,1348,3,0,0,3,8,1270,0,2003,0,98103,47.6929,-122.342,1180,1360
0179001455,2014-11-07T00:00:00Z,445000,4,3.25,3450,5000,2,0,0,3,8,3450,0,2008,0,98178,47.4925,-122.273,1420,5000
8024201795,2014-11-17T00:00:00Z,397000,2,1,1000,7664,1,0,2,3,7,1000,0,1939,0,98115,47.7001,-122.311,1570,6350
0782700150,2014-06-09T00:00:00Z,328000,3,1.75,1440,45302,2,0,0,3,7,1440,0,1977,0,98019,47.7078,-121.915,2080,49658
7526800100,2014-07-08T00:00:00Z,695500,5,2.75,2510,9180,1,0,1,4,8,1600,910,1975,0,98052,47.6389,-122.098,2650,9780
7266200085,2015-03-25T00:00:00Z,780000,5,1.75,2330,3800,1.5,0,0,3,7,1360,970,1927,0,98115,47.6835,-122.308,2100,3800
1704900303,2014-12-11T00:00:00Z,608000,3,2.25,1720,5234,2,0,0,3,9,1240,480,2011,0,98118,47.5547,-122.278,1720,5825
4131500140,2015-02-12T00:00:00Z,175000,5,1.75,1680,8400,1,0,0,4,7,1680,0,1979,0,98003,47.3035,-122.307,1800,8550
3692900010,2014-10-28T00:00:00Z,445000,2,1,930,3150,1,0,0,5,6,930,0,1918,0,98115,47.6783,-122.298,1900,5000
7802900504,2014-06-25T00:00:00Z,454000,3,1,1970,22144,1,0,0,4,7,1970,0,1970,0,98065,47.5234,-121.841,1970,13500
1630700380,2015-01-30T00:00:00Z,1920000,5,5.75,7730,230868,2,0,0,3,12,6660,1070,2004,0,98077,47.7615,-122.084,2660,39292
9528105305,2015-01-21T00:00:00Z,1375000,4,3.5,3130,4500,2,0,0,3,9,2060,1070,2014,0,98103,47.677,-122.33,1500,4500
5550300175,2014-12-06T00:00:00Z,285000,2,1,720,6400,1,0,0,4,6,720,0,1943,0,98126,47.5286,-122.368,1030,6400
0384000135,2014-06-24T00:00:00Z,502000,3,2,1300,14350,1,0,0,3,7,1300,0,1955,2013,98006,47.5736,-122.152,1520,10670
3278602660,2014-05-20T00:00:00Z,194000,1,1,820,1060,1,0,0,3,8,760,60,2007,0,98126,47.5472,-122.372,1770,1853
3276980120,2014-10-28T00:00:00Z,275000,3,2.25,1820,9766,1,0,0,4,7,1450,370,1987,0,98031,47.397,-122.203,1860,8236
